m,state,independent_mean,dependent_mean,mean_difference,independent_hpd_width,dependent_hpd_width,width_reduction_pct
200,FL,71.45,38.88,32.57,28.0,23.0,17.9%
200,NY,58.71,41.40,17.31,26.0,24.0,7.7%
200,CA,81.12,34.98,46.14,29.0,22.0,24.1%
200,TX,84.24,35.71,48.53,29.0,22.0,24.1%
600,FL,208.02,115.23,92.79,55.0,44.0,20.0%
600,NY,169.95,120.47,49.47,52.0,44.0,15.4%
600,CA,237.07,100.84,136.23,57.0,42.0,26.3%
600,TX,245.22,102.52,142.70,56.0,42.0,25.0%
1000,FL,337.83,189.19,148.64,77.0,62.0,19.5%
1000,NY,274.96,196.11,78.86,73.0,61.0,16.4%
1000,CA,386.61,162.35,224.26,78.0,58.0,25.7%
1000,TX,399.63,165.44,234.19,78.0,58.0,25.6%
1400,FL,463.00,261.59,201.41,100.0,77.0,23.0%
1400,NY,375.05,268.47,106.58,94.0,78.0,17.0%
1400,CA,530.83,221.45,309.38,100.0,71.0,29.0%
1400,TX,547.52,226.20,321.32,101.0,74.0,26.7%
2000,FL,644.77,368.51,276.26,130.0,100.0,23.1%
2000,NY,520.16,372.60,147.56,123.0,101.0,17.9%
2000,CA,740.96,305.96,435.00,131.0,94.0,28.2%
2000,TX,764.61,313.03,451.58,131.0,94.0,28.2%
