m,state,independent_mean,dependent_mean,mean_difference,independent_hpd_width,dependent_hpd_width,width_reduction_pct
200,FL,35.45,34.26,1.18,23.0,21.0,8.6%
200,NY,35.65,38.08,2.43,23.0,23.0,0.0%
200,CA,45.45,27.96,17.49,25.0,20.0,20.0%
200,TX,48.38,29.05,19.33,25.0,21.0,16.0%
600,FL,102.57,100.29,2.29,46.0,41.0,10.9%
600,NY,103.19,111.53,8.34,45.0,43.0,4.4%
600,CA,132.14,81.63,50.51,51.0,36.0,29.4%
600,TX,140.98,86.36,54.62,51.0,37.0,27.5%
1000,FL,164.70,165.26,0.56,62.0,57.0,8.1%
1000,NY,166.01,182.64,16.63,63.0,60.0,4.8%
1000,CA,213.75,133.83,79.92,69.0,54.0,21.7%
1000,TX,227.87,141.89,85.98,67.0,52.0,22.4%
1400,FL,224.66,229.51,4.84,81.0,69.0,14.8%
1400,NY,226.23,252.15,25.92,78.0,73.0,6.4%
1400,CA,291.34,186.30,105.04,91.0,64.0,29.7%
1400,TX,311.45,197.58,113.87,90.0,66.0,26.7%
2000,FL,311.13,321.54,10.42,104.0,96.0,7.7%
2000,NY,313.83,352.84,39.01,104.0,97.0,6.8%
2000,CA,404.85,261.52,143.33,113.0,85.0,24.8%
2000,TX,431.35,279.08,152.27,119.0,86.0,27.7%
