m,state,independent_mean,dependent_mean,mean_difference,independent_hpd_width,dependent_hpd_width,width_reduction_pct
200,1,21.67,75.13,53.47,14.0,26.0,-85.7%
200,2,45.76,60.88,15.12,27.0,27.0,0.0%
200,3,38.06,57.59,19.53,27.0,27.0,0.0%
200,4,47.61,106.24,58.63,27.0,29.0,-7.4%
600,1,74.98,227.44,152.46,42.0,52.0,-23.8%
600,2,165.65,212.11,46.46,52.0,50.0,3.8%
600,3,156.04,176.05,20.01,51.0,48.0,5.9%
600,4,158.76,320.10,161.35,50.0,53.0,-6.0%
1000,1,128.57,385.36,256.79,59.0,70.0,-18.6%
1000,2,281.60,348.39,66.79,72.0,68.0,5.6%
1000,3,268.43,295.83,27.40,71.0,67.0,5.6%
1000,4,264.14,536.75,272.61,71.0,73.0,-2.8%
1400,1,178.85,540.11,361.26,76.0,88.0,-15.8%
1400,2,393.41,481.89,88.47,93.0,85.0,8.6%
1400,3,376.62,417.27,40.65,91.0,81.0,11.0%
1400,4,364.35,754.97,390.62,89.0,91.0,-2.2%
2000,1,250.94,768.22,517.28,97.0,115.0,-18.6%
2000,2,556.50,678.02,121.52,123.0,108.0,12.2%
2000,3,532.21,603.46,71.25,120.0,105.0,12.5%
2000,4,509.30,1086.04,576.74,119.0,119.0,0.0%
