m,state,independent_mean,dependent_mean,mean_difference,independent_hpd_width,dependent_hpd_width,width_reduction_pct
200,1,10.98,4.53,6.45,10.0,9.0,10.0%
200,2,12.46,3.28,9.18,12.0,8.0,33.3%
200,3,7.69,2.47,5.22,9.0,6.0,33.3%
200,4,4.08,6.39,2.31,7.0,11.0,-57.1%
600,1,25.38,13.09,12.29,21.0,17.0,19.0%
600,2,25.81,9.11,16.70,16.0,14.0,12.5%
600,3,16.62,7.26,9.36,12.0,13.0,-8.3%
600,4,18.44,19.83,1.39,24.0,21.0,12.5%
1000,1,41.51,21.39,20.12,33.0,24.0,27.3%
1000,2,38.77,14.67,24.10,31.0,23.0,25.8%
1000,3,25.86,12.33,13.52,24.0,19.0,20.8%
1000,4,34.80,34.21,0.59,38.0,33.0,13.2%
1400,1,58.25,29.28,28.97,47.0,32.0,31.9%
1400,2,53.94,20.02,33.92,44.0,27.0,38.6%
1400,3,37.15,17.94,19.21,38.0,26.0,31.6%
1400,4,49.64,47.73,1.91,46.0,41.0,10.9%
2000,1,83.36,40.83,42.53,62.0,44.0,29.0%
2000,2,78.04,27.35,50.69,57.0,35.0,38.6%
2000,3,57.00,26.14,30.85,54.0,33.0,38.9%
2000,4,71.95,69.89,2.06,61.0,55.0,9.8%
